"","ID","householdID","communityID","xrtype","fa001","fa002","fa006","fe001","fe002","ff002_2","ff004_1","ff004_2","ff004_3","ff005bracket_min","ff012_1","ff012_3","ff013bracket_min","ff013bracket_max","fl020s6","fl022_1","fn014_w2_2_2_","fn017_w2"
"56","094004213002","0940042130","0940042",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","094004223002","0940042230","0940042",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","094004223001","0940042230","0940042",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","094004225001","0940042250","0940042",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","094004216002","0940042160","0940042",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","094004216001","0940042160","0940042",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","094004212002","0940042120","0940042",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","094004212001","0940042120","0940042",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","194037213002","1940372130","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","194037213001","1940372130","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","194037223002","1940372230","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","194037223001","1940372230","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","194037222002","1940372220","1940372",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","194037219001","1940372190","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","194037219002","1940372190","1940372",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","194037214002","1940372140","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","194037214001","1940372140","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","194037202002","1940372020","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","194037202001","1940372020","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","194037206002","1940372060","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","194037206001","1940372060","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","194037204001","1940372040","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","194037224001","1940372240","1940372",2,2,1,0,12,6,0,3200,0,0,0,0,0,0,0,0,0,0,14
"79","194037224002","1940372240","1940372",2,2,1,0,12,7,0,1400,0,0,0,0,0,0,0,0,0,0,0
"80","194037220001","1940372200","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","194037220002","1940372200","1940372",2,2,1,0,12,7,0,4200,0,0,0,0,0,0,0,0,0,0,40
"82","194037211002","1940372110","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","194037211001","1940372110","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","194037227002","1940372270","1940372",1,2,1,0,12,7,0,3300,0,0,0,0,0,0,0,0,0,0,0
"85","194037212002","1940372120","1940372",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","194037212001","1940372120","1940372",2,2,1,0,12,7,0,2500,0,0,0,0,0,0,0,0,0,0,0
"87","194037333002","1940373330","1940373",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","194037333001","1940373330","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","194037342002","1940373420","1940373",2,2,1,0,11,7,0,5500,0,0,0,0,0,0,0,0,0,0,0
"90","194037301002","1940373010","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","194037301001","1940373010","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","194037311002","1940373110","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","194037311001","1940373110","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","194037310001","1940373100","1940373",2,2,1,0,11,7,0,3000,0,0,0,0,0,0,0,0,0,0,0
