ID,householdID,ga002,ga003s3,ga003s5,ga003s6,ga004_w3_1s1,ga004_w3_1s3,ga004_w3_1s5
194037321001,1940373210,NA,NA,NA,NA,NA,NA,NA
194037306002,1940373060,NA,NA,NA,NA,NA,NA,NA
194037325002,1940373250,NA,NA,NA,NA,NA,NA,NA
194037325001,1940373250,30000,NA,NA,NA,NA,NA,NA
194037345002,1940373450,NA,NA,NA,NA,NA,NA,NA
194037345001,1940373450,40000,NA,NA,NA,NA,NA,NA
194037308001,1940373080,NA,NA,NA,NA,NA,NA,NA
194037307001,1940373070,36000,NA,NA,NA,NA,NA,NA
194037307002,1940373070,5000,NA,NA,NA,NA,NA,NA
194037326001,1940373260,22800,NA,NA,NA,NA,NA,NA
194037326002,1940373260,NA,NA,NA,NA,NA,NA,NA
194037348001,1940373480,36000,NA,NA,NA,NA,NA,NA
194037348002,1940373480,NA,NA,NA,NA,NA,NA,NA
194037317001,1940373170,NA,NA,NA,NA,NA,NA,NA
194037328001,1940373280,NA,NA,NA,NA,NA,NA,NA
194037347002,1940373470,30000,NA,NA,NA,NA,NA,NA
194037347001,1940373470,20000,NA,NA,NA,NA,NA,NA
194037344001,1940373440,40000,NA,NA,NA,NA,NA,NA
194037344002,1940373440,30000,NA,NA,NA,NA,NA,NA
194037341001,1940373410,40000,NA,NA,NA,NA,NA,NA
194037341002,1940373410,10000,NA,NA,NA,NA,NA,NA
194037324001,1940373240,NA,NA,NA,NA,NA,NA,NA
194037324002,1940373240,NA,NA,NA,NA,NA,NA,NA
194037302002,1940373020,NA,NA,NA,NA,NA,NA,NA
194037302001,1940373020,NA,NA,NA,NA,NA,NA,NA
194037343001,1940373430,36000,NA,NA,NA,NA,NA,NA
194037332001,1940373320,15000,NA,NA,NA,NA,NA,NA
194037332002,1940373320,NA,NA,NA,NA,NA,NA,NA
194037335002,1940373350,42000,NA,NA,NA,NA,NA,NA
194037335001,1940373350,NA,NA,NA,NA,NA,NA,NA
194037327002,1940373270,36000,NA,NA,NA,NA,NA,NA
194037327001,1940373270,NA,NA,NA,NA,NA,NA,NA
194037346002,1940373460,30000,NA,NA,NA,NA,NA,NA
194037346001,1940373460,NA,NA,NA,NA,NA,NA,NA
194037330002,1940373300,20000,NA,NA,NA,NA,NA,NA
194037330001,1940373300,NA,NA,NA,NA,NA,NA,NA
194037336001,1940373360,NA,NA,NA,NA,NA,NA,NA
194037336002,1940373360,NA,NA,NA,NA,NA,NA,NA
194037338001,1940373380,NA,3,NA,NA,NA,NA,NA
194037338002,1940373380,NA,NA,NA,NA,NA,NA,NA
194037334001,1940373340,NA,NA,NA,NA,NA,NA,NA
194037334002,1940373340,NA,NA,NA,NA,NA,NA,NA
194037318002,1940373180,42000,NA,NA,NA,NA,NA,NA
194037318001,1940373180,NA,NA,NA,NA,NA,NA,NA
194037349001,1940373490,50000,NA,NA,NA,NA,NA,NA
194037349002,1940373490,NA,NA,NA,NA,NA,NA,NA
194037312001,1940373120,NA,NA,NA,NA,NA,NA,NA
064028313003,0640283130,10000,NA,NA,NA,NA,NA,NA
064028313002,0640283130,NA,NA,NA,NA,NA,NA,NA
064028316002,0640283160,NA,NA,NA,NA,NA,NA,NA
064028316001,0640283160,NA,NA,NA,NA,NA,NA,NA
064028307001,0640283070,NA,NA,NA,NA,NA,NA,NA
064028317001,0640283170,100000,NA,NA,NA,NA,NA,NA
064028317002,0640283170,NA,NA,NA,NA,NA,NA,NA
064028314002,0640283140,NA,NA,NA,NA,NA,NA,NA
064028314001,0640283140,NA,NA,NA,NA,NA,NA,NA
064028310001,0640283100,24000,3,NA,NA,NA,NA,NA
064028304001,0640283040,20000,NA,NA,NA,NA,NA,NA
064028304002,0640283040,NA,NA,NA,NA,NA,NA,NA
064028312001,0640283120,20000,NA,NA,NA,NA,NA,NA
064028312002,0640283120,NA,NA,NA,NA,NA,NA,NA
064028301001,0640283010,NA,3,NA,NA,NA,NA,NA
064028106001,0640281060,NA,NA,NA,NA,NA,NA,NA
064028109001,0640281090,50000,NA,NA,NA,NA,NA,NA
064028105002,0640281050,NA,3,NA,NA,NA,NA,NA
064028105003,0640281050,NA,NA,NA,NA,NA,NA,NA
064028101002,0640281010,NA,NA,NA,NA,NA,NA,NA
064028101001,0640281010,NA,NA,NA,NA,NA,NA,NA
064028124001,0640281240,NA,NA,NA,NA,NA,NA,NA
064028124002,0640281240,20000,NA,NA,NA,NA,NA,NA
064028108002,0640281080,20000,NA,NA,NA,NA,NA,NA
064028108003,0640281080,NA,NA,NA,NA,NA,NA,NA
064028102001,0640281020,30000,NA,NA,NA,NA,NA,NA
064028111001,0640281110,NA,NA,NA,NA,NA,NA,NA
064028111002,0640281110,NA,NA,NA,NA,NA,NA,NA
064028110003,0640281100,NA,NA,NA,NA,NA,NA,NA
064028110002,0640281100,NA,NA,NA,NA,NA,NA,NA
064028103002,0640281030,16000,NA,NA,NA,NA,NA,NA
064028103001,0640281030,NA,NA,NA,NA,NA,NA,NA
064028115002,0640281150,NA,NA,NA,NA,NA,NA,NA
064028115001,0640281150,NA,NA,NA,NA,NA,NA,NA
064028114002,0640281140,NA,NA,NA,NA,NA,NA,NA
064028114001,0640281140,NA,NA,NA,NA,NA,NA,NA
064028122001,0640281220,20000,NA,NA,NA,NA,NA,NA
064028104001,0640281040,NA,NA,NA,NA,NA,NA,NA
064028104002,0640281040,NA,NA,NA,NA,NA,NA,NA
064028113002,0640281130,NA,NA,NA,NA,NA,NA,NA
064028113001,0640281130,25000,NA,NA,NA,NA,NA,NA
064028208002,0640282080,30000,NA,NA,NA,NA,NA,NA
064028208001,0640282080,27600,NA,NA,NA,NA,NA,NA
064028218002,0640282180,30000,NA,NA,NA,NA,NA,NA
064028218001,0640282180,NA,NA,NA,NA,NA,NA,NA
